op	annotated	n_qdq	lowered	deleg_ops	note
_adaptive_avg_pool2d	no	0	-	-	
_cdist_forward	YES	4	READY	4	
_fft_r2c	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: QuantizeLayer
 ├ MDLA: the
_log_softmax.out	YES	2	SKIP	-	lower AssertionError:
_native_batch_norm_legit.no_stats	YES	2	READY	2	
_native_batch_norm_legit_no_training	YES	6	SKIP	-	lower RuntimeError: Cannot export the following operators to MLIR: Bat
_pdist_forward	no	0	-	-	
_softmax.out	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: QuantizeLayer
 ├ MDLA: the
_upsample_bilinear2d_aa.out	YES	2	READY	2	
abs	YES	2	READY	2	
abs.out	no	0	-	-	
acos.out	no	0	-	-	
acosh.out	no	0	-	-	
add.Scalar	YES	2	SKIP	-	to_executorch AssertionError: Expecting input to have dtype torch.floa
addmm.out	no	0	-	-	
alias_copy	YES	2	READY	2	
amax.out	no	0	-	-	
amin.out	no	0	-	-	
any.all_out	no	0	-	-	
any.dims_out	no	0	-	-	
arange.out	no	0	-	-	
arange.start_out	no	0	-	-	
argmax.out	no	0	-	-	
argmin.out	no	0	-	-	
asin.out	YES	2	READY	2	
asinh.out	no	0	-	-	
atan.out	no	0	-	-	
atan2.out	no	0	-	-	
atanh.out	YES	2	READY	2	
avg_pool2d.out	no	0	-	-	
bitwise_and.Scalar	no	0	-	-	
bitwise_and.Scalar_out	no	0	-	-	
bitwise_and.Tensor_out	no	0	-	-	
bitwise_left_shift.Tensor_Scalar	no	0	-	-	
bitwise_left_shift.Tensor_Scalar_out	no	0	-	-	
bitwise_left_shift.Tensor_out	no	0	-	-	
bitwise_not.out	no	0	-	-	
bitwise_or.Scalar	no	0	-	-	
bitwise_or.Scalar_out	no	0	-	-	
bitwise_or.Tensor_out	no	0	-	-	
bitwise_right_shift.Tensor_Scalar	no	0	-	-	
bitwise_right_shift.Tensor_Scalar_out	no	0	-	-	
bitwise_right_shift.Tensor_out	no	0	-	-	
bitwise_xor.Scalar	no	0	-	-	
bitwise_xor.Scalar_out	no	0	-	-	
bitwise_xor.Tensor_out	no	0	-	-	
bmm.out	YES	4	READY	5	
cat.out	no	0	-	-	
ceil.out	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: CeilLayer
 ├ MDLA: unsuppor
clamp.Tensor_out	YES	2	SKIP	-	lower AssertionError:
clamp.out	no	0	-	-	
clone	YES	2	READY	2	
constant_pad_nd	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: QuantizeLayer
 ├ MDLA: the
convolution	no	0	-	-	
copy	YES	4	READY	5	
cos.out	no	0	-	-	
cosh.out	YES	2	READY	2	
cumsum.out	YES	2	READY	2	
detach_copy	YES	2	READY	2	
diagonal_copy	no	0	-	-	
div.Scalar	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: CastLayer
 ├ MDLA: Cannot s
div.Scalar_mode	YES	2	READY	3	
div.out	YES	2	READY	3	
div.out_mode	YES	4	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: ElementWiseDivLayer
 ├ MDLA
elu.out	YES	2	READY	2	
embedding	YES	2	SKIP	-	to_executorch AssertionError: Expecting input to have dtype torch.floa
eq.Scalar_out	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[1]: EqualLayer
 ├ MDLA: unsuppo
eq.Tensor_out	YES	4	SKIP	-	lower RuntimeError: Compile error:
NIR[2]: EqualLayer
 ├ MDLA: unsuppo
erf.out	no	0	-	-	
exp.out	no	0	-	-	
expand_copy	YES	2	READY	3	
expm1.out	no	0	-	-	
fill.Scalar	no	0	-	-	
fill.Tensor	no	0	-	-	
flip	no	0	-	-	
floor.out	no	0	-	-	
floor_divide	no	0	-	-	
floor_divide.out	YES	4	SKIP	-	lower RuntimeError: Cannot export the following operators to MLIR: Flo
fmod.Scalar	no	0	-	-	
fmod.Scalar_out	YES	2	READY	2	
fmod.Tensor_out	no	0	-	-	
full.out	no	0	-	-	
gather.out	no	0	-	-	
ge.Scalar_out	no	0	-	-	
ge.Tensor_out	no	0	-	-	
gelu.out	no	0	-	-	
glu.out	no	0	-	-	
grid_sampler_2d	YES	4	READY	4	
gt.Scalar_out	no	0	-	-	
gt.Tensor_out	no	0	-	-	
hardtanh	no	0	-	-	
hardtanh.out	no	0	-	-	
index.Tensor_out	YES	2	READY	2	
index_put	YES	4	SKIP	-	lower RuntimeError: Starting service at port: 55255
WARNING: Dimension
index_select	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: QuantizeLayer
 ├ MDLA: the
index_select.out	no	0	-	-	
isinf	no	0	-	-	
isnan	no	0	-	-	
le.Scalar_out	no	0	-	-	
le.Tensor_out	no	0	-	-	
leaky_relu.out	no	0	-	-	
lift_fresh_copy	no	0	-	-	
linear	ERR	0	-	-	IndexError: Dimension out of range (expected to be in range of [-1, 0], but got 1)
linear.out	no	0	-	-	
log.out	no	0	-	-	
log10.out	no	0	-	-	
log1p.out	no	0	-	-	
log2.out	no	0	-	-	
logical_and	YES	4	SKIP	-	lower AssertionError:
logical_and.out	no	0	-	-	
logical_not	no	0	-	-	
logical_not.out	YES	2	SKIP	-	lower AssertionError:
logical_or	YES	4	SKIP	-	lower AssertionError:
logical_or.out	YES	4	SKIP	-	lower AssertionError:
logical_xor	YES	4	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: QuantizeLayer
 ├ MDLA: the
logical_xor.out	no	0	-	-	
logit	no	0	-	-	
logit.out	YES	2	SKIP	-	lower IndexError: list index out of range
lt.Scalar_out	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[1]: LessLayer
 ├ MDLA: unsuppor
lt.Tensor_out	no	0	-	-	
masked_fill.Scalar	no	0	-	-	
masked_scatter	no	0	-	-	
max	no	0	-	-	
max.dim_max	no	0	-	-	
max.unary_out	no	0	-	-	
max_pool2d_with_indices_backward.grad_input	no	0	-	-	
maximum.out	YES	4	READY	4	
mean	YES	2	SKIP	-	lower KeyError: torch.float16
mean.dtype_out	no	0	-	-	
mean.out	no	0	-	-	
min	no	0	-	-	
min.dim_min	no	0	-	-	
min.unary_out	no	0	-	-	
minimum.out	YES	2	READY	2	
mm.out	YES	4	READY	5	
mul.Scalar	YES	2	SKIP	-	to_executorch AssertionError: Expecting input to have dtype torch.floa
mul.out	no	0	-	-	
narrow_copy	no	0	-	-	
narrow_copy.out	no	0	-	-	
native_group_norm	YES	2	READY	3	
native_layer_norm	no	0	-	-	
ne.Scalar_out	no	0	-	-	
ne.Tensor_out	no	0	-	-	
neg.out	YES	2	READY	3	
ones.out	no	0	-	-	
permute_copy	YES	2	READY	3	
pixel_shuffle	no	0	-	-	
pixel_unshuffle	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[3]: TransposeLayer
 ├ MDLA: the
pow.Scalar_out	no	0	-	-	
pow.Tensor_Scalar_out	YES	2	READY	3	
pow.Tensor_Tensor_out	no	0	-	-	
prod	no	0	-	-	
prod.int_out	no	0	-	-	
prod.out	YES	2	SKIP	-	lower RuntimeError: Starting service at port: 33771
WARNING: Dimension
reciprocal.out	no	0	-	-	
reflection_pad1d.out	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: ElementWiseSubLayer
 ├ MDLA
reflection_pad2d	no	0	-	-	
reflection_pad2d.out	no	0	-	-	
reflection_pad3d.out	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: ElementWiseSubLayer
 ├ MDLA
relu	no	0	-	-	
remainder.Scalar	no	0	-	-	
remainder.Scalar_out	YES	2	READY	2	
remainder.Tensor_out	YES	4	SKIP	-	lower RuntimeError: Starting service at port: 44031
WARNING: Dimension
repeat	YES	2	SKIP	-	lower RuntimeError: Compile error:
ERROR: Invalid TileLayer: multiples
replication_pad1d.out	YES	2	READY	4	
replication_pad2d.out	YES	2	READY	6	
replication_pad3d.out	no	0	-	-	
roll	YES	2	READY	4	
round.out	no	0	-	-	
rsqrt.out	no	0	-	-	
rsub.Scalar	YES	2	SKIP	-	lower KeyError: torch.float16
scatter.src_out	no	0	-	-	
scatter.value_out	no	0	-	-	
scatter_add.out	no	0	-	-	
select_copy.int	no	0	-	-	
select_scatter	no	0	-	-	
sigmoid.out	YES	2	READY	3	
sign.out	no	0	-	-	
sin.out	no	0	-	-	
sinh.out	YES	2	READY	2	
slice_copy.Tensor	YES	2	SKIP	-	lower RuntimeError: Compile error:
NIR[0]: QuantizeLayer
 ├ MDLA: the
slice_scatter	no	0	-	-	
split_copy.Tensor	YES	2	READY	2	
split_with_sizes_copy	YES	2	SKIP	-	lower RuntimeError: Compile error:
WARNING: Dimension should not be ze
sqrt.out	no	0	-	-	
squeeze_copy.dim	no	0	-	-	
squeeze_copy.dims	YES	2	READY	3	
stack	no	0	-	-	
stack.out	no	0	-	-	
sub.Scalar	YES	2	SKIP	-	lower KeyError: torch.float16
sub.out	no	0	-	-	
sum.IntList_out	YES	2	READY	2	
t_copy	no	0	-	-	
tan.out	no	0	-	-	
